dt,kabupaten,jumlah_kejadian,meninggal,hilang,luka_sakit,menderita,mengungsi,rumah_rusak_berat,rumah_rusak_sedang,rumah_rusak_ringan,rumah_terendam,estimasi_kerugian_rumah,pendidikan_rusak,fasyankes_rusak,rumah_ibadat_rusak,fasum_rusak,jembatan_rusak,kantor_rusak
2021-02-18 00:01:00,Kota Adm. Jakarta Selatan,1,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-17 06:00:00,Kota Adm. Jakarta Barat,1,0,0,0,0,66,0,0,0,14,14,0,0,0,0,0,0
2021-02-16 00:01:00,Kota Adm. Jakarta Barat,1,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-08 00:01:00,Kota Adm. Jakarta Selatan,0.5,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-08 00:01:00,Kota Adm. Jakarta Timur,0.5,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-07 13:00:00,Kota Adm. Jakarta Selatan,0.333333333,0,0,0,8419,3670,0,0,0,0,0,0,0,0,0,0,0
2021-02-07 13:00:00,Kota Adm. Jakarta Timur,0.333333333,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-07 00:01:00,Kota Adm. Jakarta Barat,0.333333333,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 00:01:00,Kota Adm. Jakarta Utara,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-24 07:00:00,Kota Adm. Jakarta Timur,1,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-06 09:00:00,Kota Adm. Jakarta Selatan,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-06 09:00:00,Kota Adm. Jakarta Timur,0.5,0,0,0,1067,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01 13:25:00,Kota Adm. Jakarta Selatan,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
